latitude,longitude,province
36.8775,38.8715,Şanlıurfa
37.0663,38.8956,Şanlıurfa
37.0779,40.418,Mardin
36.9591,40.2475,Mardin
37.1043,40.4633,Mardin
37.1026,40.446999999999996,Mardin
37.0466,40.3245,Mardin
37.0647,40.5334,Mardin
37.0642,40.4124,Mardin
37.0726,40.3569,Mardin
37.0565,40.3417,Mardin
37.1213,40.3028,Mardin
37.1283,40.3052,Mardin
37.1756,40.1116,Mardin
37.1605,40.3049,Mardin
37.1207,40.7378,Mardin
37.0907,41.4046,Mardin
37.1019,40.2289,Mardin
37.0988,40.2544,Mardin
37.1136,40.2031,Mardin
37.1035,40.2002,Mardin
37.0098,40.2889,Mardin
36.8779,37.5418,Gaziantep
37.0718,41.3013,
36.8695,37.5292,Gaziantep
37.0741,41.3375,
38.6635,29.0927,Uşak
38.6653,29.1043,Uşak
37.1437,40.4635,Mardin
37.1462,40.4574,Mardin
37.1025,40.5224,Mardin
37.1711,40.3627,Mardin
37.1134,40.2901,Mardin
37.0128,40.2708,Mardin
37.1164,40.2745,Mardin
37.1579,40.2867,Mardin
37.0558,40.2171,Mardin
37.152,40.2907,Mardin
37.155,40.2751,Mardin
37.1457,40.1195,Mardin
36.7303,36.2089,Hatay
37.1684,40.2684,Mardin
37.1086,39.1934,Şanlıurfa
37.0868,40.3288,Mardin
37.0713,40.3023,Mardin
36.9495,40.2658,Mardin
37.1416,40.3536,Mardin
37.0693,40.3492,Mardin
37.1315,40.3565,Mardin
36.9523,40.2806,Mardin
37.0098,40.2576,Mardin
37.0336,40.3286,Mardin
37.1119,39.2103,Şanlıurfa
37.1193,39.1901,Şanlıurfa
37.039,40.3579,Mardin
37.1213,40.9798,Mardin
37.1836,40.1852,Mardin
37.0209,40.2608,Mardin
37.0832,40.3464,Mardin
37.0276,40.2543,Mardin
36.7005,39.0857,Şanlıurfa
37.0069,40.3223,Mardin
37.1488,40.5302,Mardin
37.1462,40.431,Mardin
37.0093,40.2498,Mardin
37.1318,40.5754,Mardin
37.1337,40.5635,Mardin
37.1102,40.5328,Mardin
37.1199,40.6469,Mardin
37.1129,40.4161,Mardin
37.0908,40.435,Mardin
37.1641,40.2645,Mardin
37.1481,40.4192,Mardin
37.1148,40.4043,Mardin
37.0985,40.3879,Mardin
37.1364,40.49,Mardin
37.086999999999996,40.5233,Mardin
37.0192,40.3841,Mardin
37.0404,40.4874,Mardin
37.1085,40.6434,Mardin
37.1018,40.4082,Mardin
37.152,40.3082,Mardin
36.7301,36.2143,Hatay
37.0966,40.6401,Mardin
37.02,40.2698,Mardin
37.0103,40.2716,Mardin
37.1059,40.2576,Mardin
37.097,40.2597,Mardin
36.9599,40.1426,Şanlıurfa
37.148,40.7543,Mardin
36.900999999999996,40.1788,Şanlıurfa
36.7886,38.872,Şanlıurfa
37.115,40.1295,Mardin
37.0528,40.2064,Mardin
37.1495,40.7655,Mardin
37.0011,40.2296,Mardin
37.1305,42.4391,پارێزگای دھۆک
36.7341,37.61,Gaziantep
37.129,42.4268,Şırnak
37.1923,39.0894,Şanlıurfa
37.0322,40.4906,Mardin
37.0165,40.353,Mardin
37.176,40.468,Mardin
36.9347,40.2617,Mardin
37.0788,40.5032,Mardin
41.2626,31.4289,Zonguldak
37.0803,40.5183,Mardin
37.1059,40.4909,Mardin
37.0842,40.4986,Mardin
37.0747,40.5229,Mardin
36.8686,34.7654,Mersin
37.7695,40.5237,Diyarbakır
37.0434,40.2389,Mardin
37.7715,40.536,Diyarbakır
37.0412,40.2263,Mardin
37.4001,39.4393,Şanlıurfa
37.817,40.7706,Diyarbakır
37.4009,39.4326,Şanlıurfa
37.1561,40.243,Mardin
37.1571,35.8983,Adana
37.0287,40.065,Şanlıurfa
37.0292,40.0714,Şanlıurfa
36.8653,34.7609,Mersin
37.1822,35.8577,Adana
36.9618,40.3093,Mardin
36.961,40.3013,Mardin
36.9629,40.313,Mardin
36.9398,40.2594,Mardin
37.1036,40.3859,Mardin
37.1755,39.6888,Şanlıurfa
37.1273,40.3086,Mardin
37.0041,40.3662,Mardin
36.7148,36.2021,Hatay
37.1221,40.9646,Mardin
37.1206,40.5323,Mardin
37.0698,40.5665,Mardin
37.1172,40.515,Mardin
37.0698,40.5714,Mardin
37.0664,40.554,Mardin
38.5702,28.1426,Manisa
36.7217,36.2134,Hatay
37.4459,32.7952,Konya
37.4475,32.8154,Konya
37.4515,32.821,Konya
37.4993,32.8478,Konya
37.5552,32.6321,Konya
37.5644,32.6302,Konya
37.5254,32.905,Konya
37.5102,32.7836,Konya
37.5087,32.7716,Konya
37.6615,33.4207,Konya
37.6198,33.2027,Konya
37.641999999999996,33.1787,Konya
37.6779,33.1588,Konya
37.6873,33.157,Konya
37.7139,33.216,Konya
37.7174,33.2098,Konya
36.9949,40.2429,Mardin
37.0526,40.3152,Mardin
37.1161,40.1512,Mardin
37.058,40.4437,Mardin
37.0554,40.4292,Mardin
40.1491,25.9026,Çanakkale
40.1533,25.9227,Çanakkale
36.9872,40.3042,Mardin
37.0476,40.3865,Mardin
36.7157,36.2074,Hatay
37.2403,42.6269,Şırnak
38.7544,27.5402,Manisa
40.1109,27.701999999999998,Balıkesir
37.1131,40.5822,Mardin
40.1206,28.5251,Bursa
40.1225,28.5058,Bursa
40.1204,28.5124,Bursa
37.1071,40.5745,Mardin
37.1969,40.2652,Mardin
37.0351,40.3016,Mardin
36.9231,40.2581,Mardin
36.925,40.2353,Mardin
40.3054,27.598000000000003,Balıkesir
40.3047,27.5913,Balıkesir
37.141999999999996,36.2188,Osmaniye
38.5365,28.0673,Manisa
37.781,33.3805,Konya
41.2604,31.4226,Zonguldak
36.9452,40.2924,Mardin
37.0443,40.2011,Mardin
37.4031,39.4226,Şanlıurfa
37.0268,40.0734,Şanlıurfa
36.9233,40.2449,Mardin
37.1513,40.2361,Mardin
37.0226,40.0794,Şanlıurfa
37.0329,40.3226,Mardin
37.0245,40.0864,Şanlıurfa
37.84,32.8429,Konya
39.7607,33.9845,Kırıkkale
38.4117,33.0057,Konya
38.4132,33.0184,Konya
37.6682,33.2854,Konya
37.6697,33.2981,Konya
37.1033,40.3552,Mardin
37.1003,40.3711,Mardin
37.1197,40.3266,Mardin
