latitude,longitude,province
36.7339,36.2119,Hatay
37.1926,40.2402,Mardin
37.1119,40.4914,Mardin
37.0721,40.3536,Mardin
37.6654,39.4236,Şanlıurfa
37.1601,40.2123,Mardin
37.1944,40.2517,Mardin
37.2679,39.6129,Şanlıurfa
37.1137,40.5027,Mardin
37.1438,40.7603,Mardin
37.2088,40.3435,Mardin
37.0804,40.5882,Mardin
37.1601,39.1658,Şanlıurfa
37.1048,40.1477,Mardin
37.1066,40.1593,Mardin
37.027,40.1256,Şanlıurfa
37.1391,40.1871,Mardin
37.1889,40.1572,Mardin
37.1907,40.1688,Mardin
37.1653,40.126999999999995,Mardin
37.1409,40.1986,Mardin
37.1446,40.2217,Mardin
37.0433,40.2893,Mardin
37.1067,40.3386,Mardin
37.1365,40.4876,Mardin
37.0943,40.2742,Mardin
37.1349,40.4927,Mardin
37.1045,40.2301,Mardin
37.0432,40.3437,Mardin
36.8334,39.7167,Şanlıurfa
37.1639,40.2621,Mardin
37.0978,40.2876,Mardin
37.1446,40.2656,Mardin
37.1181,40.1239,Mardin
37.1854,40.5306,Mardin
37.1869,40.5441,Mardin
37.1292,40.135,Mardin
37.0259,40.2797,Mardin
37.1116,40.5908,Mardin
37.1101,40.5772,Mardin
41.0888,36.8326,Samsun
41.5193,36.0142,Samsun
37.1587,40.2553,Mardin
37.1636,40.2686,Mardin
37.1259,40.2454,Mardin
37.1142,40.2543,Mardin
37.1552,40.234,Mardin
37.1026,40.3285,Mardin
37.096,40.3577,Mardin
37.1064,40.336999999999996,Mardin
37.1481,40.1287,Mardin
37.153,40.1376,Mardin
37.1809,40.258,Mardin
37.1481,40.1562,Mardin
37.093,40.2834,Mardin
37.1041,40.3612,Mardin
37.1392,40.1583,Mardin
37.18,40.3156,Mardin
37.3547,40.1831,Mardin
37.2644,39.8761,Şanlıurfa
36.726,39.124,Şanlıurfa
37.106,40.2461,Mardin
37.1018,40.2814,Mardin
37.0145,40.3193,Mardin
37.1034,40.2925,Mardin
37.4133,39.4476,Şanlıurfa
37.415,39.4588,Şanlıurfa
37.098,40.1906,Mardin
37.0996,40.2017,Mardin
